date_key,date ,year,month,day,week,quarter,day_in_week,month_name,day_name
106,4/16/2019,2019,4,16,16,2,3,April,Tuesday
107,4/17/2019,2019,4,17,16,2,4,April,Tuesday
108,4/18/2019,2019,4,18,16,2,5,April,Tuesday
109,4/19/2019,2019,4,19,16,2,6,April,Tuesday
110,4/20/2019,2019,4,20,16,2,7,April,Tuesday
111,4/21/2019,2019,4,21,17,2,1,April,Tuesday
112,4/22/2019,2019,4,22,17,2,2,April,Tuesday
113,4/23/2019,2019,4,23,17,2,3,April,Tuesday
114,4/24/2019,2019,4,24,17,2,4,April,Tuesday
115,4/25/2019,2019,4,25,17,2,5,April,Tuesday
116,4/26/2019,2019,4,26,17,2,6,April,Tuesday
117,4/27/2019,2019,4,27,17,2,7,April,Tuesday
118,4/28/2019,2019,4,28,18,2,1,April,Tuesday
119,4/29/2019,2019,4,29,18,2,2,April,Tuesday
120,4/30/2019,2019,4,30,18,2,3,April,Tuesday
121,5/1/2019,2019,5,1,18,2,4,May,Tuesday
122,5/2/2019,2019,5,2,18,2,5,May,Tuesday
123,5/3/2019,2019,5,3,18,2,6,May,Tuesday
124,5/4/2019,2019,5,4,18,2,7,May,Tuesday
125,5/5/2019,2019,5,5,19,2,1,May,Tuesday
126,5/6/2019,2019,5,6,19,2,2,May,Tuesday
127,5/7/2019,2019,5,7,19,2,3,May,Tuesday
128,5/8/2019,2019,5,8,19,2,4,May,Tuesday
129,5/9/2019,2019,5,9,19,2,5,May,Tuesday
130,5/10/2019,2019,5,10,19,2,6,May,Tuesday
131,5/11/2019,2019,5,11,19,2,7,May,Tuesday
132,5/12/2019,2019,5,12,20,2,1,May,Tuesday
133,5/13/2019,2019,5,13,20,2,2,May,Tuesday
134,5/14/2019,2019,5,14,20,2,3,May,Tuesday
135,5/15/2019,2019,5,15,20,2,4,May,Tuesday
136,5/16/2019,2019,5,16,20,2,5,May,Tuesday
137,5/17/2019,2019,5,17,20,2,6,May,Tuesday
138,5/18/2019,2019,5,18,20,2,7,May,Tuesday
139,5/19/2019,2019,5,19,21,2,1,May,Tuesday
140,5/20/2019,2019,5,20,21,2,2,May,Tuesday
141,5/21/2019,2019,5,21,21,2,3,May,Tuesday
142,5/22/2019,2019,5,22,21,2,4,May,Tuesday
143,5/23/2019,2019,5,23,21,2,5,May,Tuesday
144,5/24/2019,2019,5,24,21,2,6,May,Tuesday
145,5/25/2019,2019,5,25,21,2,7,May,Tuesday
146,5/26/2019,2019,5,26,22,2,1,May,Tuesday
147,5/27/2019,2019,5,27,22,2,2,May,Tuesday
148,5/28/2019,2019,5,28,22,2,3,May,Tuesday
149,5/29/2019,2019,5,29,22,2,4,May,Tuesday
150,5/30/2019,2019,5,30,22,2,5,May,Tuesday
151,5/31/2019,2019,5,31,22,2,6,May,Tuesday
152,6/1/2019,2019,6,1,22,2,7,June,Tuesday
153,6/2/2019,2019,6,2,23,2,1,June,Tuesday
154,6/3/2019,2019,6,3,23,2,2,June,Tuesday
155,6/4/2019,2019,6,4,23,2,3,June,Tuesday
156,6/5/2019,2019,6,5,23,2,4,June,Tuesday
157,6/6/2019,2019,6,6,23,2,5,June,Tuesday
158,6/7/2019,2019,6,7,23,2,6,June,Tuesday
159,6/8/2019,2019,6,8,23,2,7,June,Tuesday
160,6/9/2019,2019,6,9,24,2,1,June,Tuesday
161,6/10/2019,2019,6,10,24,2,2,June,Tuesday
162,6/11/2019,2019,6,11,24,2,3,June,Tuesday
163,6/12/2019,2019,6,12,24,2,4,June,Tuesday
164,6/13/2019,2019,6,13,24,2,5,June,Tuesday
165,6/14/2019,2019,6,14,24,2,6,June,Tuesday
166,6/15/2019,2019,6,15,24,2,7,June,Tuesday
167,6/16/2019,2019,6,16,25,2,1,June,Tuesday
168,6/17/2019,2019,6,17,25,2,2,June,Tuesday
169,6/18/2019,2019,6,18,25,2,3,June,Tuesday
170,6/19/2019,2019,6,19,25,2,4,June,Tuesday
171,6/20/2019,2019,6,20,25,2,5,June,Tuesday
172,6/21/2019,2019,6,21,25,2,6,June,Tuesday
173,6/22/2019,2019,6,22,25,2,7,June,Tuesday
174,6/23/2019,2019,6,23,26,2,1,June,Tuesday
175,6/24/2019,2019,6,24,26,2,2,June,Tuesday
176,6/25/2019,2019,6,25,26,2,3,June,Tuesday
177,6/26/2019,2019,6,26,26,2,4,June,Tuesday
178,6/27/2019,2019,6,27,26,2,5,June,Tuesday
179,6/28/2019,2019,6,28,26,2,6,June,Tuesday
180,6/29/2019,2019,6,29,26,2,7,June,Tuesday
181,6/30/2019,2019,6,30,27,2,1,June,Tuesday
182,7/1/2019,2019,7,1,27,3,2,July,Tuesday
183,7/2/2019,2019,7,2,27,3,3,July,Tuesday
184,7/3/2019,2019,7,3,27,3,4,July,Tuesday
185,7/4/2019,2019,7,4,27,3,5,July,Tuesday
186,7/5/2019,2019,7,5,27,3,6,July,Tuesday
187,7/6/2019,2019,7,6,27,3,7,July,Tuesday
188,7/7/2019,2019,7,7,28,3,1,July,Tuesday
189,7/8/2019,2019,7,8,28,3,2,July,Tuesday
190,7/9/2019,2019,7,9,28,3,3,July,Tuesday
191,7/10/2019,2019,7,10,28,3,4,July,Tuesday
192,7/11/2019,2019,7,11,28,3,5,July,Tuesday
193,7/12/2019,2019,7,12,28,3,6,July,Tuesday
194,7/13/2019,2019,7,13,28,3,7,July,Tuesday
195,7/14/2019,2019,7,14,29,3,1,July,Tuesday
196,7/15/2019,2019,7,15,29,3,2,July,Tuesday
197,7/16/2019,2019,7,16,29,3,3,July,Tuesday
198,7/17/2019,2019,7,17,29,3,4,July,Tuesday
199,7/18/2019,2019,7,18,29,3,5,July,Tuesday
200,7/19/2019,2019,7,19,29,3,6,July,Tuesday
201,7/20/2019,2019,7,20,29,3,7,July,Tuesday
202,7/21/2019,2019,7,21,30,3,1,July,Tuesday
203,7/22/2019,2019,7,22,30,3,2,July,Tuesday
204,7/23/2019,2019,7,23,30,3,3,July,Tuesday
205,7/24/2019,2019,7,24,30,3,4,July,Tuesday
206,7/25/2019,2019,7,25,30,3,5,July,Tuesday
207,7/26/2019,2019,7,26,30,3,6,July,Tuesday
208,7/27/2019,2019,7,27,30,3,7,July,Tuesday
209,7/28/2019,2019,7,28,31,3,1,July,Tuesday
210,7/29/2019,2019,7,29,31,3,2,July,Tuesday
211,7/30/2019,2019,7,30,31,3,3,July,Tuesday
212,7/31/2019,2019,7,31,31,3,4,July,Tuesday
213,8/1/2019,2019,8,1,31,3,5,August,Tuesday
214,8/2/2019,2019,8,2,31,3,6,August,Tuesday
215,8/3/2019,2019,8,3,31,3,7,August,Tuesday
216,8/4/2019,2019,8,4,32,3,1,August,Tuesday
217,8/5/2019,2019,8,5,32,3,2,August,Tuesday
218,8/6/2019,2019,8,6,32,3,3,August,Tuesday
219,8/7/2019,2019,8,7,32,3,4,August,Tuesday
220,8/8/2019,2019,8,8,32,3,5,August,Tuesday
221,8/9/2019,2019,8,9,32,3,6,August,Tuesday
222,8/10/2019,2019,8,10,32,3,7,August,Tuesday
223,8/11/2019,2019,8,11,33,3,1,August,Tuesday
224,8/12/2019,2019,8,12,33,3,2,August,Tuesday
225,8/13/2019,2019,8,13,33,3,3,August,Tuesday
226,8/14/2019,2019,8,14,33,3,4,August,Tuesday
227,8/15/2019,2019,8,15,33,3,5,August,Tuesday
228,8/16/2019,2019,8,16,33,3,6,August,Tuesday
229,8/17/2019,2019,8,17,33,3,7,August,Tuesday
230,8/18/2019,2019,8,18,34,3,1,August,Tuesday
231,8/19/2019,2019,8,19,34,3,2,August,Tuesday
232,8/20/2019,2019,8,20,34,3,3,August,Tuesday
233,8/21/2019,2019,8,21,34,3,4,August,Tuesday
234,8/22/2019,2019,8,22,34,3,5,August,Tuesday
235,8/23/2019,2019,8,23,34,3,6,August,Tuesday
236,8/24/2019,2019,8,24,34,3,7,August,Tuesday
237,8/25/2019,2019,8,25,35,3,1,August,Tuesday
238,8/26/2019,2019,8,26,35,3,2,August,Tuesday
239,8/27/2019,2019,8,27,35,3,3,August,Tuesday
240,8/28/2019,2019,8,28,35,3,4,August,Tuesday
241,8/29/2019,2019,8,29,35,3,5,August,Tuesday
242,8/30/2019,2019,8,30,35,3,6,August,Tuesday
243,8/31/2019,2019,8,31,35,3,7,August,Tuesday
244,9/1/2019,2019,9,1,36,3,1,September,Tuesday
245,9/2/2019,2019,9,2,36,3,2,September,Tuesday
246,9/3/2019,2019,9,3,36,3,3,September,Tuesday
247,9/4/2019,2019,9,4,36,3,4,September,Tuesday
248,9/5/2019,2019,9,5,36,3,5,September,Tuesday
249,9/6/2019,2019,9,6,36,3,6,September,Tuesday
250,9/7/2019,2019,9,7,36,3,7,September,Tuesday
251,9/8/2019,2019,9,8,37,3,1,September,Tuesday
252,9/9/2019,2019,9,9,37,3,2,September,Tuesday
253,9/10/2019,2019,9,10,37,3,3,September,Tuesday
254,9/11/2019,2019,9,11,37,3,4,September,Tuesday
255,9/12/2019,2019,9,12,37,3,5,September,Tuesday
256,9/13/2019,2019,9,13,37,3,6,September,Tuesday
257,9/14/2019,2019,9,14,37,3,7,September,Tuesday
258,9/15/2019,2019,9,15,38,3,1,September,Tuesday
259,9/16/2019,2019,9,16,38,3,2,September,Tuesday
260,9/17/2019,2019,9,17,38,3,3,September,Tuesday
261,9/18/2019,2019,9,18,38,3,4,September,Tuesday
262,9/19/2019,2019,9,19,38,3,5,September,Tuesday
263,9/20/2019,2019,9,20,38,3,6,September,Tuesday
264,9/21/2019,2019,9,21,38,3,7,September,Tuesday
265,9/22/2019,2019,9,22,39,3,1,September,Tuesday
266,9/23/2019,2019,9,23,39,3,2,September,Tuesday
267,9/24/2019,2019,9,24,39,3,3,September,Tuesday
268,9/25/2019,2019,9,25,39,3,4,September,Tuesday
269,9/26/2019,2019,9,26,39,3,5,September,Tuesday
270,9/27/2019,2019,9,27,39,3,6,September,Tuesday
